ip_addr,state,neighbors,lastCMD
172.17.0.2,Unreachable,"[""['172.17.0.3',"", ""'172.17.0.5',"", ""'172.17.0.9',"", ""'172.17.0.4']""]",pwd
172.17.0.3,Ready,"[""['172.17.0.6',"", ""'172.17.0.7',"", ""'172.17.0.2',"", ""'172.17.0.4']""]",ifconfig
172.17.0.4,Ready,"[""['172.17.0.7',"", ""'172.17.0.5',"", ""'172.17.0.2',"", ""'172.17.0.3',"", ""'172.17.0.8']""]",pwd
172.17.0.5,Ready,"[""['172.17.0.4',"", ""'172.17.0.2',"", ""'172.17.0.9',"", ""'172.17.0.6']""]",pwd
172.17.0.6,Ready,"[""['172.17.0.3',"", ""'172.17.0.10',"", ""'172.17.0.5',"", ""'172.17.0.11']""]",pwd
172.17.0.7,Ready,"[""['172.17.0.4',"", ""'172.17.0.8',"", ""'172.17.0.3']""]",pwd
172.17.0.8,Ready,"[""['172.17.0.4',"", ""'172.17.0.10',"", ""'172.17.0.7',"", ""'172.17.0.12']""]",pwd
172.17.0.9,Ready,"[""['172.17.0.2',"", ""'172.17.0.5',"", ""'172.17.0.11']""]",pwd
172.17.0.10,Ready,"[""['172.17.0.6',"", ""'172.17.0.8']""]",pwd
172.17.0.11,Ready,"[""['172.17.0.6',"", ""'172.17.0.9',"", ""'172.17.0.12']""]",pwd
172.17.0.12,Ready,"[""['172.17.0.11',"", ""'172.17.0.8']""]",pwd
