Name,TrialNumber,TestType,GivenValue,ActualValue,ReportedValue,Old,New,,,,,,,,
Evan,1,Brightness,19,50,50,1,1,,,,,,,,
Evan,2,Area,34,5,6,0.90488841,1.113282753,,,,,,,,
Evan,3,Velocity,24,76,50,0.636750431,0.903316528,,,,,,,,
Evan,4,Area,1,21,16,0.910680995,0.910680995,,,,,,,,
Evan,5,Area,4,71,49,0.871067499,0.912998492,,,,,,,,
Evan,6,Brightness,87,58,69,0.571693123,1.042769593,,,,,,,,
Evan,7,Brightness,35,94,75,0.771438415,0.950298918,,,,,,,,
Evan,8,Area,18,1,3,0.619906233,1.584962501,,,,,,,,
Evan,9,Area,1,77,49,0.895947198,0.895947198,,,,,,,,
Evan,10,Length,81,53,56,0.870190175,1.013867942,,,,,,,,
Evan,11,Brightness,19,42,30,0.575820423,0.909978069,,,,,,,,
Evan,12,Brightness,74,13,8,1.279169354,0.810714463,,,,,,,,
Evan,13,Velocity,9,73,20,0.381470665,0.698231114,,,,,,,,
Evan,14,Area,11,61,30,0.585706158,0.827366028,,,,,,,,
Evan,15,Area,58,3,15,0.456607057,2.464973521,,,,,,,,
Evan,16,Length,60,13,20,0.718331197,1.167949872,,,,,,,,
Evan,17,Velocity,86,23,40,0.580404181,1.176490594,,,,,,,,
Evan,18,Velocity,16,26,18,0.24259761,0.887135088,,,,,,,,
Evan,19,Velocity,56,72,70,0.887905851,0.993412888,,,,,,,,
Evan,20,Brightness,46,56,56,1,1,,,,,,,,
Evan,21,Length,33,16,22,0.560097467,1.114857905,,,,,,,,
Evan,22,Length,91,61,62,0.959347239,1.00395549,,,,,,,,
Evan,23,Brightness,91,85,90,0.162001461,1.012865834,,,,,,,,
Evan,24,Velocity,19,81,70,0.899342836,0.966786756,,,,,,,,
Evan,25,Length,43,78,75,0.934139145,0.990997628,,,,,,,,
Evan,26,Area,81,6,15,0.647944687,1.511391594,,,,,,,,
Evan,27,Brightness,52,19,12,1.456426466,0.843932127,,,,,,,,
Evan,28,Area,2,62,40,0.872377238,0.893811325,,,,,,,,
Evan,29,Velocity,73,11,33,0.419511208,1.45815691,,,,,,,,
Evan,30,Velocity,18,58,28,0.377611835,0.820650481,,,,,,,,
Evan,31,Length,80,49,65,0.42357544,1.072605349,,,,,,,,
Evan,32,Velocity,30,88,70,0.787349515,0.948888908,,,,,,,,
Evan,33,Velocity,57,47,54,0.280280942,1.036060032,,,,,,,,
Evan,34,Area,8,14,10,0.398744203,0.87250287,,,,,,,,
Evan,35,Length,29,80,70,0.868407077,0.96952748,,,,,,,,
Evan,36,Brightness,58,86,70,0.477405904,0.953786259,,,,,,,,
Evan,37,Length,46,11,16,0.738113252,1.156259305,,,,,,,,
Evan,38,Length,49,56,53,0.587664173,0.986321747,,,,,,,,
Evan,39,Brightness,20,81,55,0.723234934,0.911907965,,,,,,,,
Evan,40,Length,40,95,87,0.898301695,0.980682663,,,,,,,,
J,1,Brightness,40,59,55,0.819367515,0.982782682,,,,,,,,
J,2,Length,97,6,8,0.896626991,1.160558422,,,,,,,,
J,3,Length,18,62,45,0.740878413,0.922350022,,,,,,,,
J,4,Brightness,93,6,2,1.400830504,0.386852807,,,,,,,,
J,5,Length,62,28,35,0.719291527,1.066965743,,,,,,,,
J,6,Velocity,62,54,55,0.867179922,1.004599953,,,,,,,,
J,7,Area,56,1,4,0.655609132,2,,,,,,,,
J,8,Brightness,52,10,10,1,1,,,,,,,,
J,9,Brightness,92,81,85,0.621467563,1.010968861,,,,,,,,
J,10,Length,95,12,20,0.753101512,1.205571354,,,,,,,,
J,11,Velocity,85,71,60,1.935344916,0.960509511,,,,,,,,
J,12,Velocity,33,26,25,1.164508807,0.987962078,,,,,,,,
J,13,Area,81,26,64,0.207300153,1.276476321,,,,,,,,
J,14,Velocity,92,29,40,0.721450286,1.095502041,,,,,,,,
J,15,Velocity,95,96,98,2.969123935,1.004517466,,,,,,,,
J,16,Velocity,99,67,55,1.505496079,0.953062102,,,,,,,,
J,17,Area,64,16,34,0.456268579,1.27186571,,,,,,,,
J,18,Area,1,69,40,0.871229727,0.871229727,,,,,,,,
J,19,Velocity,31,55,50,0.833764981,0.976216058,,,,,,,,
J,20,Velocity,42,85,70,0.724594225,0.956297264,,,,,,,,
J,21,Velocity,14,34,2,-2.193061132,0.196561632,,,,,,,,
J,22,Length,81,41,50,0.708536324,1.053439367,,,,,,,,
J,23,Length,6,68,30,0.662934438,0.806064977,,,,,,,,
J,24,Velocity,44,58,55,0.807749589,0.986920189,,,,,,,,
J,25,Brightness,84,23,40,0.572781911,1.176490594,,,,,,,,
J,26,Area,1,31,25,0.93735813,0.93735813,,,,,,,,
J,27,Area,20,90,45,0.539154579,0.845960778,,,,,,,,
J,28,Brightness,70,13,20,0.744121666,1.167949872,,,,,,,,
J,29,Area,41,35,38,0.480242596,1.023130815,,,,,,,,
J,30,Brightness,9,22,31,1.383685268,1.110947927,,,,,,,,
J,31,Area,4,37,16,0.623159078,0.76783488,,,,,,,,
J,32,Area,10,6,8,0.436829205,1.160558422,,,,,,,,
J,33,Length,55,87,70,0.525894547,0.951317208,,,,,,,,
J,34,Length,41,14,18,0.766113558,1.095228863,,,,,,,,
J,35,Area,69,90,75,0.313814887,0.959482385,,,,,,,,
J,36,Length,35,72,69,0.940997437,0.990048413,,,,,,,,
J,37,Brightness,95,54,80,0.304217443,1.098532003,,,,,,,,
J,38,Length,66,12,22,0.644442598,1.243926992,,,,,,,,
J,39,Brightness,10,6,2,3.150660103,0.386852807,,,,,,,,
J,40,Brightness,7,83,95,1.054605775,1.030559211,,,,,,,,
Kyle,1,Area,50,6,25,0.326915579,1.796488803,,,,,,,,
Kyle,2,Length,80,3,8,0.701277649,1.892789261,,,,,,,,
Kyle,3,Velocity,16,67,32,0.484006211,0.824254284,,,,,,,,
Kyle,4,Area,8,64,16,0.333333333,0.666666667,,,,,,,,
Kyle,5,Brightness,21,18,21,0,1.053332475,,,,,,,,
Kyle,6,Area,1,32,16,0.8,0.8,,,,,,,,
Kyle,7,Length,68,24,30,0.785738421,1.070213899,,,,,,,,
Kyle,8,Length,50,83,75,0.800021756,0.977063555,,,,,,,,
Kyle,9,Velocity,32,97,75,0.76805352,0.943772871,,,,,,,,
Kyle,10,Brightness,70,47,70,0,1.103462953,,,,,,,,
Kyle,11,Length,66,82,75,0.588918816,0.979751119,,,,,,,,
Kyle,12,Area,14,15,14,0,0.974523046,,,,,,,,
Kyle,13,Area,13,62,26,0.443703638,0.789433111,,,,,,,,
Kyle,14,Velocity,83,58,41.5,1.934017376,0.917558359,,,,,,,,
Kyle,15,Brightness,37,76,70,0.885751131,0.981010584,,,,,,,,
Kyle,16,Brightness,99,7,1,1.734524771,0,,,,,,,,
Kyle,17,Length,49,72,60,0.526247794,0.957368298,,,,,,,,
Kyle,18,Velocity,46,87,92,1.087687708,1.012512675,,,,,,,,
Kyle,19,Velocity,78,55,60,0.750951793,1.021713038,,,,,,,,
Kyle,20,Area,46,96,50,0.11333538,0.85708251,,,,,,,,
Kyle,21,Brightness,46,45,46,0,1.0057738,,,,,,,,
Kyle,22,Area,10,41,20,0.491249879,0.8066983,,,,,,,,
Kyle,23,Area,50,50,50,0,1,,,,,,,,
Kyle,24,Length,39,37,37,1,1,,,,,,,,
Kyle,25,Area,58,27,30,0.862202892,1.031967758,,,,,,,,
Kyle,26,Length,97,51,50,1.030802736,0.994963503,,,,,,,,
Kyle,27,Velocity,92,14,20,0.81055451,1.135152405,,,,,,,,
Kyle,28,Length,64,87,75,0.516586636,0.966765997,,,,,,,,
Kyle,29,Length,95,51,50,1.031834398,0.994963503,,,,,,,,
Kyle,30,Length,78,3,2,1.124448464,0.630929754,,,,,,,,
Kyle,31,Brightness,96,19,4,1.96187157,0.470817827,,,,,,,,
Kyle,32,Area,72,48,66,0.21459646,1.082262257,,,,,,,,
Kyle,33,Velocity,34,36,35,0.507143829,0.992138767,,,,,,,,
Kyle,34,Velocity,53,41,50,0.226974692,1.053439367,,,,,,,,
Kyle,35,Brightness,12,69,80,1.084564454,1.034935382,,,,,,,,
Kyle,36,Velocity,63,91,85,0.814512772,0.984879101,,,,,,,,
Kyle,37,Brightness,57,34,43,0.545492939,1.066595457,,,,,,,,
Kyle,38,Brightness,21,81,80,0.990797634,0.997173134,,,,,,,,
Kyle,39,Brightness,12,80,90,1.06208518,1.026878667,,,,,,,,
Kyle,40,Velocity,30,90,80,0.892789261,0.973824885,,,,,,,,
KL,1,Brightness,36,14,10,1.356258246,0.87250287,,,,,,,,
