gene1,gene2,chr1,chr2,rep,min,interactions.x,interactions.y,interactions.counts
ZNF438,PARD3,10,10,1,0,31140000,34400000,1
ZNF438,PARD3,10,10,1,0,31170000,34400000,1
ZNF438,PARD3,10,10,1,0,31185000,34400000,2
ZNF438,PARD3,10,10,1,0,31220000,34400000,1
ZNF438,PARD3,10,10,1,0,31245000,34400000,1
ZNF438,PARD3,10,10,1,0,31305000,34400000,1
ZNF438,PARD3,10,10,1,0,31320000,34400000,1
ZNF438,PARD3,10,10,1,0,31135000,34405000,1
ZNF438,PARD3,10,10,1,0,31185000,34405000,1
ZNF438,PARD3,10,10,1,0,31235000,34405000,1
ZNF438,PARD3,10,10,1,0,31320000,34405000,1
ZNF438,PARD3,10,10,1,0,31135000,34410000,1
ZNF438,PARD3,10,10,1,0,31155000,34410000,1
ZNF438,PARD3,10,10,1,0,31180000,34410000,1
ZNF438,PARD3,10,10,1,0,31185000,34410000,1
ZNF438,PARD3,10,10,1,0,31190000,34410000,1
ZNF438,PARD3,10,10,1,0,31215000,34410000,1
ZNF438,PARD3,10,10,1,0,31220000,34410000,1
ZNF438,PARD3,10,10,1,0,31250000,34410000,1
ZNF438,PARD3,10,10,1,0,31285000,34410000,1
ZNF438,PARD3,10,10,1,0,31290000,34410000,1
ZNF438,PARD3,10,10,1,0,31190000,34415000,1
ZNF438,PARD3,10,10,1,0,31225000,34415000,1
ZNF438,PARD3,10,10,1,0,31230000,34415000,1
ZNF438,PARD3,10,10,1,0,31280000,34415000,1
ZNF438,PARD3,10,10,1,0,31295000,34415000,1
ZNF438,PARD3,10,10,1,0,31135000,34420000,1
ZNF438,PARD3,10,10,1,0,31195000,34420000,1
ZNF438,PARD3,10,10,1,0,31210000,34420000,1
ZNF438,PARD3,10,10,1,0,31310000,34420000,1
ZNF438,PARD3,10,10,1,0,31150000,34425000,1
ZNF438,PARD3,10,10,1,0,31155000,34425000,1
ZNF438,PARD3,10,10,1,0,31230000,34425000,1
ZNF438,PARD3,10,10,1,0,31240000,34425000,1
ZNF438,PARD3,10,10,1,0,31140000,34430000,2
ZNF438,PARD3,10,10,1,0,31155000,34430000,1
ZNF438,PARD3,10,10,1,0,31260000,34430000,1
ZNF438,PARD3,10,10,1,0,31265000,34430000,1
ZNF438,PARD3,10,10,1,0,31295000,34430000,1
ZNF438,PARD3,10,10,1,0,31310000,34430000,1
ZNF438,PARD3,10,10,1,0,31320000,34430000,1
ZNF438,PARD3,10,10,1,0,31175000,34435000,1
ZNF438,PARD3,10,10,1,0,31185000,34435000,1
ZNF438,PARD3,10,10,1,0,31210000,34435000,1
ZNF438,PARD3,10,10,1,0,31230000,34435000,1
ZNF438,PARD3,10,10,1,0,31295000,34435000,1
ZNF438,PARD3,10,10,1,0,31315000,34435000,1
ZNF438,PARD3,10,10,1,0,31155000,34440000,1
ZNF438,PARD3,10,10,1,0,31195000,34440000,1
ZNF438,PARD3,10,10,1,0,31260000,34440000,1
ZNF438,PARD3,10,10,1,0,31275000,34440000,1
ZNF438,PARD3,10,10,1,0,31305000,34440000,1
ZNF438,PARD3,10,10,1,0,31320000,34440000,1
ZNF438,PARD3,10,10,1,0,31150000,34445000,1
ZNF438,PARD3,10,10,1,0,31155000,34445000,1
ZNF438,PARD3,10,10,1,0,31175000,34445000,2
ZNF438,PARD3,10,10,1,0,31185000,34445000,1
ZNF438,PARD3,10,10,1,0,31270000,34445000,1
ZNF438,PARD3,10,10,1,0,31295000,34445000,2
ZNF438,PARD3,10,10,1,0,31175000,34450000,1
ZNF438,PARD3,10,10,1,0,31200000,34450000,1
ZNF438,PARD3,10,10,1,0,31190000,34455000,1
ZNF438,PARD3,10,10,1,0,31200000,34455000,1
ZNF438,PARD3,10,10,1,0,31215000,34455000,1
ZNF438,PARD3,10,10,1,0,31235000,34455000,1
ZNF438,PARD3,10,10,1,0,31290000,34455000,1
ZNF438,PARD3,10,10,1,0,31310000,34455000,1
ZNF438,PARD3,10,10,1,0,31315000,34455000,1
ZNF438,PARD3,10,10,1,0,31165000,34460000,1
ZNF438,PARD3,10,10,1,0,31260000,34460000,1
ZNF438,PARD3,10,10,1,0,31150000,34465000,1
ZNF438,PARD3,10,10,1,0,31165000,34465000,1
ZNF438,PARD3,10,10,1,0,31245000,34465000,1
ZNF438,PARD3,10,10,1,0,31255000,34465000,1
ZNF438,PARD3,10,10,1,0,31275000,34465000,1
ZNF438,PARD3,10,10,1,0,31280000,34465000,1
ZNF438,PARD3,10,10,1,0,31305000,34465000,1
ZNF438,PARD3,10,10,1,0,31310000,34465000,1
ZNF438,PARD3,10,10,1,0,31145000,34470000,1
ZNF438,PARD3,10,10,1,0,31165000,34470000,1
ZNF438,PARD3,10,10,1,0,31170000,34470000,1
ZNF438,PARD3,10,10,1,0,31180000,34470000,1
ZNF438,PARD3,10,10,1,0,31230000,34470000,1
ZNF438,PARD3,10,10,1,0,31135000,34475000,2
ZNF438,PARD3,10,10,1,0,31140000,34475000,1
ZNF438,PARD3,10,10,1,0,31150000,34475000,2
ZNF438,PARD3,10,10,1,0,31185000,34475000,1
ZNF438,PARD3,10,10,1,0,31225000,34475000,1
ZNF438,PARD3,10,10,1,0,31255000,34475000,1
ZNF438,PARD3,10,10,1,0,31285000,34475000,1
ZNF438,PARD3,10,10,1,0,31290000,34475000,1
ZNF438,PARD3,10,10,1,0,31305000,34475000,1
ZNF438,PARD3,10,10,1,0,31150000,34480000,1
ZNF438,PARD3,10,10,1,0,31195000,34480000,1
ZNF438,PARD3,10,10,1,0,31220000,34480000,1
ZNF438,PARD3,10,10,1,0,31235000,34480000,1
ZNF438,PARD3,10,10,1,0,31300000,34480000,1
ZNF438,PARD3,10,10,1,0,31175000,34485000,1
ZNF438,PARD3,10,10,1,0,31210000,34485000,1
ZNF438,PARD3,10,10,1,0,31255000,34485000,1
ZNF438,PARD3,10,10,1,0,31275000,34485000,1
ZNF438,PARD3,10,10,1,0,31315000,34485000,1
ZNF438,PARD3,10,10,1,0,31140000,34490000,1
ZNF438,PARD3,10,10,1,0,31165000,34490000,1
ZNF438,PARD3,10,10,1,0,31210000,34490000,1
ZNF438,PARD3,10,10,1,0,31230000,34490000,1
ZNF438,PARD3,10,10,1,0,31240000,34490000,1
ZNF438,PARD3,10,10,1,0,31310000,34490000,1
ZNF438,PARD3,10,10,1,0,31320000,34490000,1
ZNF438,PARD3,10,10,1,0,31135000,34495000,1
ZNF438,PARD3,10,10,1,0,31145000,34495000,1
ZNF438,PARD3,10,10,1,0,31200000,34495000,1
ZNF438,PARD3,10,10,1,0,31210000,34495000,1
ZNF438,PARD3,10,10,1,0,31225000,34495000,1
ZNF438,PARD3,10,10,1,0,31255000,34495000,1
ZNF438,PARD3,10,10,1,0,31265000,34495000,1
ZNF438,PARD3,10,10,1,0,31275000,34495000,1
ZNF438,PARD3,10,10,1,0,31285000,34495000,1
ZNF438,PARD3,10,10,1,0,31300000,34495000,1
ZNF438,PARD3,10,10,1,0,31310000,34495000,2
ZNF438,PARD3,10,10,1,0,31320000,34495000,1
ZNF438,PARD3,10,10,1,0,31140000,34500000,1
